date,open,high,low,close,volume
2025-12-29,57.040,57.800,56.060,57.120,24073530
2025-12-30,57.120,57.330,55.820,56.450,22447834
2025-12-31,56.210,57.480,55.970,56.150,17004069
2026-01-05,57.040,58.500,56.920,58.280,40209229
2026-01-06,58.100,61.040,57.500,60.100,42935087
2026-01-07,59.990,59.990,58.310,58.510,28084451
2026-01-08,58.450,63.380,58.310,61.810,57835621
2026-01-09,63.500,65.450,61.860,62.400,68351728
2026-01-12,63.000,63.100,61.500,62.670,46020644
2026-01-13,62.200,62.210,59.700,60.000,47091734
2026-01-14,59.810,61.880,58.980,59.780,37483536
2026-01-15,59.770,62.990,59.600,61.180,39299709
2026-01-16,60.000,60.940,58.750,58.930,37829151
2026-01-19,58.600,62.550,58.100,61.200,48541711
2026-01-20,60.550,62.300,59.450,60.450,27894899
2026-01-21,60.030,61.120,59.600,59.670,24049362
2026-01-22,59.550,61.590,59.500,60.830,28469176
2026-01-23,60.650,60.800,59.600,59.860,26393891
2026-01-26,59.600,59.770,56.920,56.920,43156119
2026-01-27,56.910,57.800,56.360,56.940,26038348
2026-01-28,57.060,57.090,55.680,55.970,30390945
2026-01-29,55.980,56.230,55.170,55.530,21022239
2026-01-30,55.500,55.760,54.300,54.980,18235888
2026-02-02,54.800,55.310,53.510,53.800,25165030
2026-02-03,53.990,54.610,53.870,54.530,17496011
2026-02-04,54.390,55.860,54.200,55.500,21787193
2026-02-05,55.210,56.250,54.870,55.790,19558438
2026-02-06,55.380,55.630,54.820,55.100,14473752
2026-02-09,55.630,55.980,55.120,55.360,16562141
2026-02-10,55.670,56.290,55.000,56.080,23736380
2026-02-11,55.780,55.800,54.760,54.820,17864399
2026-02-12,54.810,54.980,54.300,54.860,16158665
2026-02-13,54.900,56.080,54.670,55.660,25057143
2026-02-24,55.930,56.650,55.370,56.280,20476719
2026-02-25,56.400,56.490,55.820,56.250,16844957
2026-02-26,56.200,56.380,55.510,55.830,15904195
2026-02-27,55.830,56.220,55.000,55.340,21854448
2026-03-02,57.560,58.340,56.220,57.950,63662643
2026-03-03,57.850,57.850,55.600,55.740,35820019
2026-03-04,55.090,57.330,54.630,56.870,30938650
2026-03-05,56.430,56.430,55.600,55.950,21884598
