date,open,high,low,close,volume
2026-03-03,130.800,130.820,112.000,112.430,64722020
2026-03-04,111.180,113.860,109.000,110.790,35957187
2026-03-05,114.930,117.990,111.220,113.480,40475833
2026-03-06,112.610,113.300,109.830,110.290,24230579
2026-03-09,106.630,107.550,100.600,107.150,32159378
2026-03-10,110.150,115.660,109.920,113.500,35740101
2026-03-11,113.900,118.330,112.300,112.930,30827592
2026-03-12,113.720,117.000,110.150,112.790,24480977
2026-03-13,112.000,115.190,108.010,113.900,38486466
2026-03-16,113.100,118.800,109.180,118.650,45879881
2026-03-17,124.500,126.220,109.220,109.350,46587367
2026-03-18,110.720,111.650,106.150,109.300,26308314
2026-03-19,105.000,105.790,100.010,101.020,31150658
2026-03-20,101.980,102.600,97.640,97.870,27552191
2026-03-23,93.960,96.960,91.330,92.310,27448847
2026-03-24,93.860,95.060,90.380,94.960,23037786
2026-03-25,96.020,99.890,96.020,97.100,24546973
2026-03-26,96.530,97.740,93.590,94.120,19287801
2026-03-27,92.000,95.800,91.300,94.200,16311233
2026-03-30,92.710,96.700,91.530,95.850,19736207
2026-03-31,94.890,95.480,91.200,91.400,19566487
2026-04-01,94.490,96.900,93.500,94.800,20833244
2026-04-02,93.840,94.200,90.100,91.330,16662981
2026-04-03,92.050,95.620,91.480,93.760,22143041
2026-04-07,95.010,98.500,94.500,94.950,22781854
2026-04-08,98.980,100.310,97.000,100.040,31869399
2026-04-09,98.000,99.470,97.500,97.980,21812099
2026-04-10,99.450,104.200,99.420,101.140,32235374
2026-04-13,101.660,110.850,101.610,108.900,43443800
2026-04-14,108.600,111.660,108.450,110.150,41076810
2026-04-15,110.630,113.450,105.730,106.900,39715610
2026-04-16,108.740,110.440,105.600,108.940,27927997
2026-04-17,107.550,114.940,107.100,112.200,38476577
2026-04-20,111.800,114.660,110.000,110.910,33611756
2026-04-21,110.000,113.660,109.480,112.400,30844766
2026-04-22,111.900,121.480,111.600,120.130,42837877
2026-04-23,124.010,127.080,110.000,110.190,57953430
2026-04-24,110.190,112.860,106.880,108.050,34967038
2026-04-27,110.110,111.000,107.680,108.700,27006044
2026-04-28,108.000,110.330,104.780,107.090,26618759
2026-04-29,105.600,113.570,105.600,111.570,34585208
2026-04-30,112.510,113.560,107.380,108.980,26703070
2026-05-06,111.230,118.580,111.230,115.960,40388947
2026-05-07,117.000,135.230,115.180,128.520,61279837
2026-05-08,124.680,131.840,122.000,128.660,41661472
2026-05-11,133.000,136.880,125.220,131.450,51626267
2026-05-12,135.800,150.500,130.780,148.160,74498836
2026-05-13,143.170,149.990,141.200,148.900,58408510
2026-05-14,145.600,146.900,139.010,140.520,53982278
2026-05-15,141.820,143.550,132.210,133.830,47947244
2026-05-18,135.430,139.480,132.150,137.500,35703397
2026-05-19,135.900,135.940,127.750,131.800,36991638
2026-05-20,130.510,135.500,129.220,133.970,28655175
2026-05-21,137.600,139.800,127.700,128.400,43065549
2026-05-22,129.900,141.880,129.400,140.150,52136219
2026-05-25,141.810,153.580,141.690,151.460,51791964
2026-05-26,148.000,151.650,144.090,148.290,43856066
2026-05-27,148.500,149.400,138.620,139.400,41873333
2026-05-28,139.000,145.880,136.720,144.300,39982706
2026-05-29,143.710,144.880,130.180,133.750,47978694
2026-06-01,132.170,133.330,115.990,116.440,55565214
2026-06-02,117.540,122.440,115.560,119.500,38870367
2026-06-03,119.250,123.990,117.500,118.990,40366875
2026-06-04,118.400,123.380,118.000,122.080,28782698
2026-06-05,120.010,125.000,117.110,119.230,36961921
2026-06-08,112.980,117.940,111.510,112.380,31745726
2026-06-09,117.000,121.420,116.000,121.330,37411512
2026-06-10,123.000,125.790,120.720,121.310,41210967
2026-06-11,120.500,125.700,116.320,124.000,39268000
2026-06-12,127.000,130.330,118.080,118.990,46920383
2026-06-15,121.370,127.320,118.280,127.320,42504596
2026-06-16,127.600,134.880,126.000,131.450,49063800
2026-06-17,128.000,140.690,127.120,134.880,55022386
2026-06-18,133.370,137.680,131.500,135.750,43834914
2026-06-22,135.830,141.000,133.310,138.250,46111970
2026-06-23,137.000,137.080,126.710,127.350,45567461
2026-06-24,127.510,134.550,125.040,133.480,39058857
2026-06-25,133.000,137.220,131.500,133.550,36340359
2026-06-26,130.960,144.200,129.170,139.960,67569821
2026-06-29,139.010,141.800,123.100,131.010,57271842
2026-06-30,131.010,136.180,128.880,133.730,38635528
2026-07-01,135.660,136.590,125.000,126.170,42076027
2026-07-02,120.000,123.250,116.610,117.200,32366152
2026-07-03,116.280,119.880,113.910,114.020,26716905
2026-07-06,115.160,116.200,106.880,108.790,27669526
2026-07-07,108.100,109.960,104.780,106.150,16856935
2026-07-08,106.160,107.770,100.490,102.530,19434507
2026-07-09,105.400,107.490,100.000,107.250,22893353
2026-07-10,108.250,111.800,102.980,103.150,26448483
2026-07-13,103.790,106.400,97.500,98.420,23121518
2026-07-14,98.470,104.000,96.690,102.160,22514365
2026-07-15,102.990,104.560,97.550,97.650,17923214
2026-07-16,95.800,98.260,92.700,93.100,17103326
2026-07-17,92.500,93.080,83.790,84.630,24496495
